score_1;risk_score1;score_2;risk_score2;interaction_1;interaction_2;transaction;bad_transaction;state;population;sc_control
excellent;0;medium;1;0;1;99;0;KY;0;0
medium;1;medium;1;1;0;99;0;VA;0;0
excellent;0;medium;1;0;1;59;0;IN;0;0
medium;1;excellent;0;0;0;99;0;ID;0;0
excellent;0;medium;1;0;1;75;0;FL;1;0
nd;1;nodata;0;0;1;50;0;NC;0;0
excellent;0;nodata;0;0;1;100;0;FL;1;0
nd;1;medium;1;1;1;50;0;CA;1;0
medium;1;excellent;0;0;0;59;0;FL;1;0
bad;1;medium;1;1;1;59;0;FL;1;0
nd;1;medium;1;1;1;75;0;IL;0;0
nd;1;bad;1;1;1;99;0;IN;0;0
good;0;medium;1;0;1;99;0;FL;1;0
medium;1;bad;1;1;1;99;0;TX;1;0
excellent;0;medium;1;0;1;79;0;MD;0;0
bad;1;medium;1;1;1;100;0;CA;1;0
good;0;medium;1;0;1;50;0;TX;1;0
nd;1;medium;1;1;1;50;0;CA;1;0
nd;1;bad;1;1;1;99;0;AZ;0;0
excellent;0;medium;1;0;1;99;0;CA;1;0
excellent;0;medium;1;0;1;59;0;FL;1;0
nd;1;medium;1;1;1;75;0;UT;0;0
good;0;medium;1;0;1;59;0;TX;1;0
medium;1;medium;1;1;0;75;0;AZ;0;0
excellent;0;medium;1;0;1;59;0;FL;1;0
nd;1;medium;1;1;1;50;0;CA;1;0
good;0;bad;1;0;1;59;0;SC;0;1
good;0;bad;1;0;1;59;0;LA;0;0
good;0;medium;1;0;1;59;0;KY;0;0
bad;1;good;0;0;1;75;0;SD;0;0
excellent;0;medium;1;0;1;79;0;MA;0;0
excellent;0;medium;1;0;1;50;0;CA;1;0
excellent;0;medium;1;0;1;79;0;IN;0;0
excellent;0;medium;1;0;1;75;0;MI;0;0
excellent;0;medium;1;0;1;59;0;CA;1;0
excellent;0;medium;1;0;1;50;0;KY;0;0
excellent;0;medium;1;0;1;75;0;VA;0;0
excellent;0;medium;1;0;1;75;0;OK;0;0
medium;1;excellent;0;0;0;75;0;ID;0;0
excellent;0;medium;1;0;1;75;0;TX;1;0
excellent;0;medium;1;0;1;75;0;FL;1;0
good;0;medium;1;0;1;75;0;LA;0;0
excellent;0;medium;1;0;1;99;0;FL;1;0
good;0;medium;1;0;1;99;0;CA;1;0
nd;1;medium;1;1;1;75;0;AZ;0;0
excellent;0;medium;1;0;1;59;0;WI;0;0
excellent;0;medium;1;0;1;75;0;FL;1;0
medium;1;bad;1;1;1;59;0;MD;0;0
medium;1;good;0;0;0;59;0;TX;1;0
excellent;0;bad;1;0;1;100;0;IL;0;0
excellent;0;bad;1;0;1;99;0;CA;1;0
bad;1;good;0;0;1;59;0;FL;1;0
excellent;0;bad;1;0;1;75;0;NA;0;0
excellent;0;bad;1;0;1;99;0;CA;1;0
excellent;0;bad;1;0;1;79;0;FL;1;0
excellent;0;bad;1;0;1;50;0;FL;1;0
good;0;good;0;0;1;59;0;UT;0;0
good;0;bad;1;0;1;75;0;FL;1;0
excellent;0;medium;1;0;1;75;0;CA;1;0
good;0;medium;1;0;1;75;0;FL;1;0
excellent;0;medium;1;0;1;59;0;FL;1;0
bad;1;good;0;0;1;99;0;FL;1;0
excellent;0;medium;1;0;1;59;0;CA;1;0
bad;1;good;0;0;1;59;0;CA;1;0
bad;1;good;0;0;1;79;0;TX;1;0
good;0;bad;1;0;1;79;0;CA;1;0
excellent;0;good;0;0;0;59;0;CA;1;0
excellent;0;good;0;0;0;99;0;FL;1;0
excellent;0;good;0;0;0;99;0;CA;1;0
excellent;0;medium;1;0;1;59;0;CA;1;0
bad;1;good;0;0;1;99;0;CA;1;0
excellent;0;good;0;0;0;99;1;IA;0;0
bad;1;good;0;0;1;99;0;VA;0;0
medium;1;bad;1;1;1;59;0;TX;1;0
bad;1;good;0;0;1;59;0;IN;0;0
medium;1;bad;1;1;1;99;0;FL;1;0
medium;1;good;0;0;0;100;0;FL;1;0
medium;1;medium;1;1;0;75;0;FL;1;0
nd;1;bad;1;1;1;75;0;SC;0;1
good;0;bad;1;0;1;49;0;CA;1;0
medium;1;good;0;0;0;100;0;CA;1;0
nd;1;bad;1;1;1;75;0;CA;1;0
medium;1;excellent;0;0;0;49;0;CA;1;0
nd;1;medium;1;1;1;75;0;FL;1;0
good;0;medium;1;0;1;75;0;SC;0;1
excellent;0;medium;1;0;1;75;0;TX;1;0
